id,bbox,end_date,format,geometry,height,internal_time,ip,layers,mean_gsd,render_time,request,start_date,styles,total_time,url,user_name,width
1,"-2.744905139225449,21.772454933904132,-2.722406939081461,21.794953134048118",2014-03-26 10:56:41.501-04,image/png,01030000000100000005000000DAC35CD390F505C089C0469BBFC53540DAC35CD390F505C0E196700C82CB354014110E4A7DC705C0E196700C82CB354014110E4A7DC705C089C0469BBFC53540DAC35CD390F505C089C0469BBFC53540,190,0.823,214.28.226.252,imageXXXXXXXXXXXXXXXXXX,13.1815167568093,0.114,GetMap,2014-03-26 10:56:40.534-04,,0.937,http://omar.ossim.org/omar/ogc/wms?height=190&bbox=-2.744905139225449%2C21.772454933904132%2C-2.722406939081461%2C21.794953134048118&request=GetMap&layers=imageXXXXXXXXXXXXXXXXXX&width=190&srs=epsg%3A4326&format=image%2Fpng,anonymousUser,190
2,"21.582999308997007,31.16059264996442,21.605497509140992,31.183090850108407",2014-03-26 11:25:43.98-04,image/png,0103000000010000000500000095BB55713F9535403E9393991C293F4095BB55713F9535409669BD0ADF2E3F40ED917FE2019B35409669BD0ADF2E3F40ED917FE2019B35403E9393991C293F4095BB55713F9535403E9393991C293F40,190,0.078,214.28.226.252,imageXXXXXXXXXXXXXXXXXX,13.1815167568085,0.012,GetMap,2014-03-26 11:25:43.889-04,,0.09,http://omar.ossim.org/omar/ogc/wms?height=190&bbox=21.582999308997007%2C31.16059264996442%2C21.605497509140992%2C31.183090850108407&request=GetMap&layers=imageXXXXXXXXXXXXXXXXXX&width=190&srs=epsg%3A4326&format=image%2Fpng,anonymousUser,190
3,"57.09859308801616,31.286602120332628,57.121091288160144,31.309100320476613",2014-03-26 11:52:02.228-04,image/png,010300000001000000050000000E52C4B29E8C4C40FBCAADC15E493F400E52C4B29E8C4C4053A1D732214F3F403A3D59EB7F8F4C4053A1D732214F3F403A3D59EB7F8F4C40FBCAADC15E493F400E52C4B29E8C4C40FBCAADC15E493F40,190,0.009,214.28.226.252,imageXXXXXXXXXXXXXXXXXX,13.1815167568085,0.002,GetMap,2014-03-26 11:52:02.216-04,,0.011,http://omar.ossim.org/omar/ogc/wms?height=190&bbox=57.09859308801616%2C31.286602120332628%2C57.121091288160144%2C31.309100320476613&request=GetMap&layers=imageXXXXXXXXXXXXXXXXXX&width=190&srs=epsg%3A4326&format=image%2Fpng,anonymousUser,190
4,"70.06345223816123,32.35653582430971,70.08595043830522,32.379034024453695",2014-03-26 11:55:17.502-04,image/png,01030000000100000005000000ACF0F9990F8451409DA144F7A22D4040ACF0F9990F845140C98CD92F843040404266443680855140C98CD92F8430404042664436808551409DA144F7A22D4040ACF0F9990F8451409DA144F7A22D4040,190,0.008,214.28.226.252,imageXXXXXXXXXXXXXXXXXX,13.1815167568085,0.001,GetMap,2014-03-26 11:55:17.492-04,,0.009,http://omar.ossim.org/omar/ogc/wms?height=190&bbox=70.06345223816123%2C32.35653582430971%2C70.08595043830522%2C32.379034024453695&request=GetMap&layers=imageXXXXXXXXXXXXXXXXXX&width=190&srs=epsg%3A4326&format=image%2Fpng,anonymousUser,190
5,"57.87677919591635,31.748523207621826,57.899277396060334,31.77102140776581",2014-03-26 11:58:08.989-04,image/png,010300000001000000050000000F23FA4C3AF04C40630889379FBF3F400F23FA4C3AF04C40BBDEB2A861C53F403B0E8F851BF34C40BBDEB2A861C53F403B0E8F851BF34C40630889379FBF3F400F23FA4C3AF04C40630889379FBF3F40,190,0.056,214.28.226.252,imageXXXXXXXXXXXXXXXXXX,13.1815167568085,0.006,GetMap,2014-03-26 11:58:08.907-04,,0.062,http://omar.ossim.org/omar/ogc/wms?height=190&bbox=57.87677919591635%2C31.748523207621826%2C57.899277396060334%2C31.77102140776581&request=GetMap&layers=imageXXXXXXXXXXXXXXXXXX&width=190&srs=epsg%3A4326&format=image%2Fpng,anonymousUser,190
6,"48.90662225344167,61.13470888400172,48.929120453585654,61.1572070841457",2014-03-26 12:01:11.032-04,image/png,01030000000100000005000000CC2DB0320C7448404FA205243E914E40CC2DB0320C7448407B8D9A5C1F944E40F818456BED7648407B8D9A5C1F944E40F818456BED7648404FA205243E914E40CC2DB0320C7448404FA205243E914E40,190,0.008,214.28.226.252,imageXXXXXXXXXXXXXXXXXX,13.1815167568085,0.001,GetMap,2014-03-26 12:01:11.022-04,,0.009,http://omar.ossim.org/omar/ogc/wms?height=190&bbox=48.90662225344167%2C61.13470888400172%2C48.929120453585654%2C61.1572070841457&request=GetMap&layers=imageXXXXXXXXXXXXXXXXXX&width=190&srs=epsg%3A4326&format=image%2Fpng,anonymousUser,190
7,"-73.59236881990888,6.272472892685239,-73.5698706197649,6.294971092829228",2014-03-26 12:04:13.162-04,image/png,01030000000100000005000000712BE95EE96552C0BB844C2203171940712BE95EE96552C01FDEF3E60C2E1940DBB59EC2786452C01FDEF3E60C2E1940DBB59EC2786452C0BB844C2203171940712BE95EE96552C0BB844C2203171940,190,0.008,214.28.226.252,imageXXXXXXXXXXXXXXXXXX,13.1815167568096,0.001,GetMap,2014-03-26 12:04:13.153-04,,0.009,http://omar.ossim.org/omar/ogc/wms?height=190&bbox=-73.59236881990888%2C6.272472892685239%2C-73.5698706197649%2C6.294971092829228&request=GetMap&layers=imageXXXXXXXXXXXXXXXXXX&width=190&srs=epsg%3A4326&format=image%2Fpng,anonymousUser,190
8,"-73.14008505074962,6.440705972475902,-73.11758685060563,6.463204172619891",2014-03-26 12:06:45.491-04,image/png,0103000000010000000500000033E84927F74852C056BE2B6D48C3194033E84927F74852C0BA17D33152DA19409D72FF8A864752C0BA17D33152DA19409D72FF8A864752C056BE2B6D48C3194033E84927F74852C056BE2B6D48C31940,190,0.009,214.28.226.252,imageXXXXXXXXXXXXXXXXXX,13.1815167568096,0,GetMap,2014-03-26 12:06:45.481-04,,0.009,http://omar.ossim.org/omar/ogc/wms?height=190&bbox=-73.14008505074962%2C6.440705972475902%2C-73.11758685060563%2C6.463204172619891&request=GetMap&layers=imageXXXXXXXXXXXXXXXXXX&width=190&srs=epsg%3A4326&format=image%2Fpng,anonymousUser,190
9,"48.84984393726194,60.722878621778904,48.87234213740592,60.74537682192289",2014-03-26 12:09:56.136-04,image/png,01030000000100000005000000389FA6AFC76C48404CC26349875C4E40389FA6AFC76C484078ADF881685F4E40648A3BE8A86F484078ADF881685F4E40648A3BE8A86F48404CC26349875C4E40389FA6AFC76C48404CC26349875C4E40,190,0.008,214.28.226.252,imageXXXXXXXXXXXXXXXXXX,13.1815167568085,0.001,GetMap,2014-03-26 12:09:56.127-04,,0.009,http://omar.ossim.org/omar/ogc/wms?height=190&bbox=48.84984393726194%2C60.722878621778904%2C48.87234213740592%2C60.74537682192289&request=GetMap&layers=imageXXXXXXXXXXXXXXXXXX&width=190&srs=epsg%3A4326&format=image%2Fpng,anonymousUser,190
10,"48.45704768241774,60.80259403659514,48.47954588256172,60.825092236739124",2014-03-26 13:03:43.311-04,image/png,010300000001000000050000003059D889803A48400492C166BB664E403059D889803A4840307D569F9C694E405C446DC2613D4840307D569F9C694E405C446DC2613D48400492C166BB664E403059D889803A48400492C166BB664E40,190,0.039,214.28.226.252,imageXXXXXXXXXXXXXXXXXX,13.1815167568085,0.003,GetMap,2014-03-26 13:03:43.258-04,,0.042,http://omar.ossim.org/omar/ogc/wms?height=190&bbox=48.45704768241774%2C60.80259403659514%2C48.47954588256172%2C60.825092236739124&request=GetMap&layers=imageXXXXXXXXXXXXXXXXXX&width=190&srs=epsg%3A4326&format=image%2Fpng,anonymousUser,190
11,"57.42004283636647,31.8169796396528,57.442541036510455,31.839477839796785",2014-03-26 13:10:14.262-04,image/png,01030000000100000005000000798EB2F6C3B54C4080CEE19325D13F40798EB2F6C3B54C40D8A40B05E8D63F40A579472FA5B84C40D8A40B05E8D63F40A579472FA5B84C4080CEE19325D13F40798EB2F6C3B54C4080CEE19325D13F40,190,0.008,214.28.226.252,imageXXXXXXXXXXXXXXXXXX,13.1815167568085,0.001,GetMap,2014-03-26 13:10:14.253-04,,0.009,http://omar.ossim.org/omar/ogc/wms?height=190&bbox=57.42004283636647%2C31.8169796396528%2C57.442541036510455%2C31.839477839796785&request=GetMap&layers=imageXXXXXXXXXXXXXXXXXX&width=190&srs=epsg%3A4326&format=image%2Fpng,anonymousUser,190
12,"48.787812931389766,61.357167762881154,48.81031113153375,61.37966596302514",2014-03-26 18:52:13.145-04,image/png,01030000000100000005000000ACD7DB0DD764484049615AACB7AD4E40ACD7DB0DD7644840754CEFE498B04E40D8C27046B8674840754CEFE498B04E40D8C27046B867484049615AACB7AD4E40ACD7DB0DD764484049615AACB7AD4E40,190,0.041,214.28.226.252,imageXXXXXXXXXXXXXXXXXX,13.1815167568085,0.004,GetMap,2014-03-26 18:52:13.094-04,,0.045,http://omar.ossim.org/omar/ogc/wms?height=190&bbox=48.787812931389766%2C61.357167762881154%2C48.81031113153375%2C61.37966596302514&request=GetMap&layers=imageXXXXXXXXXXXXXXXXXX&width=190&srs=epsg%3A4326&format=image%2Fpng,anonymousUser,190
13,"-104.71649475163,24.677139185046,-58.194954648365,47.398752314954",2014-03-27 08:33:07.38-04,image/jpeg,010300000001000000050000006A80CD0CDB2D5AC0D79C5EFE58AD38406A80CD0CDB2D5AC043F7DB500AB3474026771F46F4184DC043F7DB500AB3474026771F46F4184DC0D79C5EFE58AD38406A80CD0CDB2D5AC0D79C5EFE58AD3840,590,6.129,207.106.237.97,60d6591d5612498ad3f71f3d01967bad10a0455f87c7fc452d95678c5f635ded,4287.0481417339,0.012,GetMap,2014-03-27 08:33:01.233-04,,6.141,http://omar.ossim.org/omar/ogc/wms?BBOX=-104.71649475163%2C24.677139185046%2C-58.194954648365%2C47.398752314954&STRETCH_MODE_REGION=viewport&CONTRAST=1&STRETCH_MODE=linear_auto_min_max&SERVICE=WMS&HEIGHT=590&BRIGHTNESS=0&REQUEST=GetMap&STYLES=&WIDTH=1208&BANDS=default&TRANSPARENT=FALSE&VERSION=1.1.1&INTERPOLATION=bilinear&FORMAT=image%2Fjpeg&SHARPEN_MODE=none&LAYERS=60d6591d5612498ad3f71f3d01967bad10a0455f87c7fc452d95678c5f635ded&SRS=EPSG%3A4326,anonymousUser,1208
14,"-104.71649475163,24.677139185046,-58.194954648365,47.398752314954",2014-03-27 08:33:15.247-04,image/jpeg,010300000001000000050000006A80CD0CDB2D5AC0D79C5EFE58AD38406A80CD0CDB2D5AC043F7DB500AB3474026771F46F4184DC043F7DB500AB3474026771F46F4184DC0D79C5EFE58AD38406A80CD0CDB2D5AC0D79C5EFE58AD3840,590,0.272,207.106.237.97,60d6591d5612498ad3f71f3d01967bad10a0455f87c7fc452d95678c5f635ded,4287.0481417339,0.015,GetMap,2014-03-27 08:33:14.959-04,,0.287,http://omar.ossim.org/omar/ogc/wms?BBOX=-104.71649475163%2C24.677139185046%2C-58.194954648365%2C47.398752314954&STRETCH_MODE_REGION=global&CONTRAST=1&STRETCH_MODE=linear_auto_min_max&SERVICE=WMS&HEIGHT=590&BRIGHTNESS=0&REQUEST=GetMap&STYLES=&WIDTH=1208&BANDS=default&TRANSPARENT=FALSE&QUICKLOOK=false&VERSION=1.1.1&INTERPOLATION=bilinear&FORMAT=image%2Fjpeg&SHARPEN_MODE=none&LAYERS=60d6591d5612498ad3f71f3d01967bad10a0455f87c7fc452d95678c5f635ded&SRS=EPSG%3A4326,anonymousUser,1208
